コード,年度,年月日,営業CF,投資CF,財務CF,設備投資,現金同等物
1301,2021,2021/03,5997000000,-527000000,-4627000000,-,7097000000
1332,2021,2021/03,45910000000,-18023000000,-44786000000,-24228000000,14760000000
1333,2021,2021/03,33361000000,-11996000000,-10812000000,-22771000000,31156000000
1352,2021,2021/03,4367000000,-1817000000,-662000000,-611000000,4009000000
1375,2021,2021/03,8204000000,-3689000000,-5198000000,-3726000000,3777000000
1376,2021,2021/05,2294651000,-838995000,-384763000,-1028317000,5486002000
1377,2021,2021/05,11362000000,-5165000000,-4005000000,-4689000000,14758000000
1379,2021,2021/03,10471000000,-4332000000,-4801000000,-3995000000,12833000000
1380,2021,2021/03,785867000,-332930000,-144656000,-335198000,926888000
1381,2021,2021/06,2934000000,-2332000000,-483000000,-2340000000,7894000000
1382,2021,2021/06,352435000,-16048000,-193052000,-22602000,407794000
1383,2021,2021/10,481540000,-523091000,278826000,-512295000,964407000
1384,2021,2021/03,635353000,-905438000,-532226000,-912963000,1395633000
1400,2021,2021/12,63949000,-203292000,64289000,-372000,1547232000
1401,2021,2021/05,-1699000,227196000,-85646000,-10324000,1403477000
1407,2021,2021/08,5127000000,-4037000000,3315000000,-3394000000,34349000000
1413,2021,2021/12,2813806000,-1196512000,-4000606000,-2687477000,15980031000
1414,2021,2021/06,2737000000,-2638000000,-4485000000,-1510000000,23012000000
1417,2021,2021/03,41602000000,1869000000,-32200000000,-8917000000,42851000000
1418,2021,2021/02,633196000,41270000,-636588000,-42604000,3163923000
1419,2021,2021/05,17639000000,-1520000000,-14436000000,-1655000000,32681000000
1420,2021,2021/03,6107776000,-106075000,-5137896000,-208398000,7184688000
1429,2021,2021/12,520501000,-355358000,109780000,-355572000,1926921000
1430,2021,2021/05,2814959000,-45189000,-2584505000,-8996000,4276416000
1431,2021,2021/06,134033000,-599132000,3046753000,-219605000,3324877000
1433,2021,2021/01,-108653000,-101058000,638160000,-50802000,1367126000
1434,2021,2021/08,1158009000,-2385982000,1552965000,-,1355631000
1435,2021,2021/12,-418000000,-108000000,-383000000,-122520000,4648242000
1436,2021,2021/04,1283512000,-263193000,285672000,-165037000,2462718000
1438,2021,2021/09,319669000,-18343000,-97441000,-32005000,1976318000
1439,2021,2021/12,586358000,-50673000,-370485000,-111469000,1526547000
1443,2021,2021/03,1681902000,-2648868000,1791106000,-,3779012000
1444,2021,2021/07,54452000,-62684000,-1306000,-62452000,710647000
1446,2021,2021/09,-35518000,-93732000,-725820000,-94364000,2600363000
1447,2021,2021/03,-795546000,-1118294000,2539145000,-713960000,3536577000
1448,2021,2021/03,3768000000,-465000000,-882000000,-1923000000,6564000000
1449,2021,2021/12,-20000000,-146000000,122000000,-144068000,124587000
1450,2021,2021/03,23688000,-64455000,125869000,-52412000,1530477000
1451,2021,2021/03,1363722000,-46116000,-207563000,-50894000,3984906000
1491,2021,2021/03,622834000,-43828000,441102000,-41927000,3958425000
1514,2021,2021/03,1452000000,-36000000,-299000000,-25000000,4646000000
1515,2021,2021/03,9414000000,-6539000000,-999000000,-6885000000,35236000000
1518,2021,2021/03,6807000000,-2568000000,4259000000,-,19293000000
1605,2021,2021/12,445457000000,-130727000000,-315215000000,-143232000000,191213000000
1662,2021,2021/03,43263000000,-6453000000,-15626000000,-15569000000,157963000000
1663,2021,2021/12,6441000000,-7067000000,-961000000,-5209000000,20291000000
1711,2021,2021/03,-515095000,41486000,145855000,0,112610000
1712,2021,2021/02,2074000000,-411000000,-1230000000,-539000000,1031000000
1716,2021,2021/06,1957496000,-1594308000,-69137000,-1853430000,6610123000
1717,2021,2021/03,590951000,-135712000,-850502000,-77194000,1438834000
1718,2021,2021/12,3895391000,-983795000,-1309191000,-984234000,2884665000
1719,2021,2021/03,29154000000,-3954000000,-12656000000,-2934000000,128035000000
1720,2021,2021/03,11629000000,-3753000000,-3308000000,-,34173000000
1721,2021,2021/03,25469000000,-8861000000,-20258000000,-12151000000,32936000000
1723,2021,2021/03,4096000000,-2385000000,-1016000000,-340000000,9305000000
1724,2021,2021/12,661000000,-187000000,121000000,-186000000,1600000000
1726,2021,2021/03,-3224000000,-194000000,3672000000,-483000000,2565000000
1728,2021,2021/03,258110000,2366000,-1256874000,-48327000,4743856000
1730,2021,2021/03,210334000,-51258000,-4115000,-51258000,663156000
1734,2021,2021/03,341315000,-43753000,-101894000,-66833000,2464267000
1736,2021,2021/03,1235542000,-2262383000,-456856000,-187810000,5576172000
1737,2021,2021/03,2363418000,-311756000,-423273000,-144429000,6943187000
1738,2021,2021/03,88297000,-232676000,76917000,-230306000,1292220000
