コード,年度,年月日,売上高,営業利益,経常利益,純利益
1301,2021,2021/03,249197000000,4657000000,4879000000,3838000000
1332,2021,2021/03,615044000000,18079000000,22670000000,14391000000
1333,2021,2021/03,809050000000,16208000000,18093000000,5753000000
1352,2021,2021/03,83265000000,1230000000,1163000000,798000000
1375,2021,2021/03,51380000000,7823000000,-,4744000000
1376,2021,2021/05,60779093000,1661398000,1765679000,1436066000
1377,2021,2021/05,69218000000,9725000000,10078000000,7636000000
1379,2021,2021/03,73889000000,6012000000,6526000000,4038000000
1380,2021,2021/03,6417643000,265554000,288370000,169973000
1381,2021,2021/06,21160000000,3372000000,3508000000,2412000000
1382,2021,2021/06,3039041000,106225000,109438000,108305000
1383,2021,2021/10,5372134000,-54184000,-56881000,122198000
1384,2021,2021/03,13060962000,152646000,226109000,132784000
1400,2021,2021/12,2527792000,-308725000,-309206000,-459086000
1401,2021,2021/05,3439594000,243108000,284511000,287098000
1407,2021,2021/08,67938000000,10148000000,9648000000,6495000000
1413,2021,2021/12,122503650000,6258966000,6252227000,3144157000
1414,2021,2021/06,80065000000,15732000000,16302000000,11340000000
1417,2021,2021/03,463744000000,30129000000,31739000000,24205000000
1418,2021,2021/02,14823365000,183463000,286217000,101658000
1419,2021,2021/05,218092000000,10999000000,11093000000,7168000000
1420,2021,2021/03,53487929000,782016000,872512000,509313000
1429,2021,2021/12,23903421000,1412091000,1429232000,953802000
1430,2021,2021/05,20919021000,1666068000,1608766000,1125310000
1431,2021,2021/06,9404305000,486968000,582751000,336938000
1433,2021,2021/01,3682864000,124501000,212842000,142571000
1434,2021,2021/08,9268700000,560396000,601166000,463218000
1435,2021,2021/12,4090000000,299000000,355000000,373000000
1436,2021,2021/04,5990829000,261546000,276241000,159307000
1438,2021,2021/09,4309677000,313415000,345003000,221084000
1439,2021,2021/12,6913577000,208023000,207496000,90184000
1443,2021,2021/03,9361193000,1202988000,1206034000,746473000
1444,2021,2021/07,2788305000,158011000,158111000,102154000
1446,2021,2021/09,11220318000,63328000,36650000,-72823000
1447,2021,2021/03,22830151000,152439000,196887000,-358005000
1448,2021,2021/03,77510000000,14000000,732000000,329000000
1449,2021,2021/12,1694000000,60000000,65000000,43000000
1450,2021,2021/03,9011368000,1433847000,1458935000,982268000
1451,2021,2021/03,11632122000,521562000,492463000,318991000
1491,2021,2021/03,39452935000,273608000,226973000,175665000
1514,2021,2021/03,9781000000,-63000000,-33000000,-94000000
1515,2021,2021/03,119159000000,8726000000,9629000000,3746000000
1518,2021,2021/03,57378000000,1946000000,3020000000,-3035000000
1605,2021,2021/12,1244369000000,590657000000,657627000000,223048000000
1662,2021,2021/03,240078000000,4192000000,10001000000,-2725000000
1663,2021,2021/12,66070000000,3937000000,4423000000,2846000000
1711,2021,2021/03,844454000,-252479000,-272124000,-348374000
1712,2021,2021/02,14906000000,1206000000,1241000000,689000000
1716,2021,2021/06,19337792000,2760772000,2936089000,1743496000
1717,2021,2021/03,4240560000,909925000,910742000,620481000
1718,2021,2021/12,26370060000,1266595000,1323844000,731365000
1719,2021,2021/03,352146000000,27357000000,25890000000,17188000000
1720,2021,2021/03,231483000000,3549000000,4891000000,2647000000
1721,2021,2021/03,563252000000,41572000000,42941000000,29369000000
1723,2021,2021/03,34079000000,4584000000,4660000000,3324000000
1724,2021,2021/12,13061000000,1208000000,1319000000,871000000
1726,2021,2021/03,38797000000,3045000000,2954000000,1948000000
1728,2021,2021/03,24579229000,378099000,417933000,161156000
1730,2021,2021/03,4623870000,215884000,223262000,153618000
1734,2021,2021/03,10042814000,-864380000,-816513000,-3270081000
1736,2021,2021/03,23458243000,1993467000,2134836000,1326390000
1737,2021,2021/03,24608512000,975943000,1066749000,729842000
1738,2021,2021/03,8618898000,331870000,360662000,240260000
1739,2021,2021/06,27541969000,1967099000,1905488000,1247989000
1743,2021,2021/09,10547106000,1208739000,1226275000,643260000
1757,2021,2021/03,1329245000,-1022122000,-1111163000,-1307896000
1758,2021,2021/01,13308092000,593353000,660444000,435796000
1762,2021,2021/03,283080000000,12198000000,12112000000,7467000000
1764,2021,2021/06,19801167000,601310000,551897000,355715000
1766,2021,2021/04,309809000000,15562000000,16499000000,10080000000
1768,2021,2021/03,16298974000,1212575000,1269235000,866791000
1770,2021,2021/03,26250632000,1795638000,1860709000,1179342000
1771,2021,2021/09,18046652000,1331273000,1390021000,919377000
1775,2021,2021/03,74168000000,5916000000,5920000000,3902000000
1776,2021,2021/03,33796000000,1824000000,1827000000,1188000000
1777,2021,2021/03,21894000000,1071258000,1108000000,749000000
1780,2021,2021/03,24829358000,1387598000,1544507000,1142428000
1782,2021,2021/03,18011000000,1495000000,1548000000,1016000000
1783,2021,2021/09,6894583000,335043000,217227000,-977219000
1786,2021,2021/03,55224000000,5118000000,5163000000,3763000000
1787,2021,2021/03,13013554000,1275135000,1309516000,901473000
1788,2021,2021/06,7452018000,212287000,225511000,143109000
1789,2021,2021/09,4900553000,258634000,259296000,175167000
1793,2021,2021/03,73360000000,3747000000,3953000000,2589000000
1795,2021,2021/09,7794170000,406679000,418451000,321656000
1798,2021,2021/03,36841183000,891919000,948939000,652612000
1799,2021,2021/03,54952417000,5127639000,5429502000,3723628000
1801,2021,2021/03,1480141000000,130516000000,135937000000,92554000000
1802,2021,2021/03,1766893000000,123161000000,128784000000,98780000000
1803,2021,2021/03,1456473000000,100151000000,105465000000,77176000000
1805,2021,2021/03,117295000000,3995000000,3673000000,2451000000
1807,2021,2021/03,39918978000,2694809000,2890494000,1844514000
1808,2021,2021/03,809438000000,72909000000,71832000000,48258000000
1810,2021,2021/03,87579716000,2940972000,3289343000,2252034000
1811,2021,2021/03,105792000000,4603000000,5637000000,3219000000
1812,2021,2021/03,1907176000000,127298000000,139729000000,98522000000
1813,2021,2021/03,72308000000,4518000000,4718000000,2990000000
1814,2021,2021/03,56490000000,2214000000,2219000000,1603000000
1815,2021,2021/03,182020000000,6245000000,6489000000,4387000000
1820,2021,2021/03,336241000000,20950000000,21561000000,17166000000
1821,2021,2021/03,421619000000,15584000000,13063000000,8743000000
1822,2021,2021/03,161697000000,9066000000,9420000000,6262000000
1824,2021,2021/03,678059000000,46343000000,45665000000,23275000000
1826,2021,2021/03,31689000000,1006000000,1013000000,651000000
1827,2021,2021/03,116046000000,1622000000,1818000000,369000000
1828,2021,2021/03,38123091000,2653106000,2742956000,1754067000
1832,2021,2021/03,57149000000,729000000,922000000,596000000
1833,2021,2021/03,220712000000,12880000000,14779000000,10285000000
1835,2021,2021/03,132919794000,13915739000,14293123000,9689447000
1840,2021,2021/10,31051907000,590904000,647859000,477918000
