コード,会社名,会社名（カナ）,会社名（英語）,銘柄名,所在地,連結の有無,市場,33業種コード,33業種区分,17業種コード,17業種区分,決算日
1301,株式会社　極洋,カブシキガイシャ　キョクヨウ,"KYOKUYO CO., LTD.",極洋,港区赤坂三丁目３番５号,有,プライム（内国株式）,50,水産・農林業,1,食品,3月31日
1332,日本水産株式会社,ニッポンスイサンカブシキガイシャ,"Nippon Suisan Kaisha, Ltd.",日本水産,港区西新橋一丁目３番１号,有,プライム（内国株式）,50,水産・農林業,1,食品,3月31日
1333,マルハニチロ株式会社,マルハニチロカブシキガイシャ,,マルハニチロ,江東区豊洲三丁目２番２０号,有,プライム（内国株式）,50,水産・農林業,1,食品,3月31日
1375,株式会社雪国まいたけ,カブシキカイシャユキグニマイタケ,"YUKIGUNI MAITAKE CO.,LTD.",雪国まいたけ,南魚沼市余川８９番地,有,プライム（内国株式）,50,水産・農林業,1,食品,3月31日
1376,カネコ種苗株式会社,カネコシュビョウカブシキガイシャ,"KANEKO SEEDS CO., LTD.",カネコ種苗,前橋市古市町一丁目５０番地１２,有,スタンダード（内国株式）,50,水産・農林業,1,食品,5月31日
1377,株式会社　サカタのタネ,カブシキガイシャ　サカタノタネ,SAKATA SEED CORPORATION,サカタのタネ,横浜市都筑区仲町台２－７－１,有,プライム（内国株式）,50,水産・農林業,1,食品,5月31日
1379,ホクト株式会社,ホクトカブシキガイシャ,HOKUTO CORPORATION,ホクト,長野市南堀１３８番地１,有,プライム（内国株式）,50,水産・農林業,1,食品,3月31日
1380,株式会社秋川牧園,カブシキガイシャアキカワボクエン,,秋川牧園,山口市仁保下郷１０３１７番地,有,スタンダード（内国株式）,50,水産・農林業,1,食品,3月31日
1381,株式会社アクシーズ,カブシキガイシャアクシーズ,"AXYZ Co., Ltd",アクシーズ,鹿児島市草牟田二丁目１番８号,有,スタンダード（内国株式）,50,水産・農林業,1,食品,6月30日
1382,株式会社ホーブ,カブシキガイシャホーブ,"HOB Co.,Ltd.",ホーブ,上川郡東神楽町１４号北１番地,有,スタンダード（内国株式）,50,水産・農林業,1,食品,6月30日
1383,ベルグアース株式会社,ベルグアースカブシキガイシャ,"Berg Earth co.,Ltd.",ベルグアース,宇和島市津島町北灘甲８８番地１,無,スタンダード（内国株式）,50,水産・農林業,1,食品,10月31日
1384,株式会社　ホクリヨウ,カブシキガイシャホクリヨウ,"Hokuryo Co., Ltd.",ホクリヨウ,札幌市白石区中央二条三丁目６番１５号,有,スタンダード（内国株式）,50,水産・農林業,1,食品,3月31日
1400,ルーデン・ホールディングス株式会社,ルーデンホールディングスカブシキガイシャ,"RUDEN HOLDINGS Co.,Ltd.",ルーデン・ホールディングス,渋谷区桜丘町２０番１号,有,グロース（内国株式）,2050,建設業,3,建設・資材,12月31日
1401,株式会社エムビーエス,カブシキガイシャエムビーエス,"mbs,inc.",エムビーエス,宇部市西岐波１１７３番地１６２,無,グロース（内国株式）,2050,建設業,3,建設・資材,5月31日
1407,株式会社ウエストホールディングス,カブシキガイシャウエストホールディングス,West Holdings corporation,ウエストホールディングス,広島市西区楠木町一丁目１５番２４号,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,8月31日
1414,ショーボンドホールディングス株式会社,ショーボンドホールディングスカブシキガイシャ,"SHO-BOND Holdings Co.,  Ltd.",ショーボンドホールディングス,中央区日本橋箱崎町７番８号,有,プライム（内国株式）,2050,建設業,3,建設・資材,6月30日
1417,株式会社ミライト・ワン,カブシキガイシャミライトワン,MIRAIT ONE Corporation,ミライト・ワン,江東区豊洲五丁目６番３６号,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日
1418,インターライフホールディングス株式会社,インターライフホールディングスカブシキガイシャ,,インターライフホールディングス,中央区銀座六丁目１３番１６号,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,2月末日
1419,タマホーム株式会社,タマホームカブシキガイシャ,"Tama Home Co., Ltd.",タマホーム,港区高輪３丁目２２番９号,有,プライム（内国株式）,2050,建設業,3,建設・資材,5月31日
1420,サンヨーホームズ株式会社,サンヨーホームズカブシキカイシャ,Sanyo Homes Corporation,サンヨーホームズ,大阪市西区西本町一丁目４番１号,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,3月31日
1429,株式会社日本アクア,カブシキガイシャニホンアクア,"Nippon Aqua Co., Ltd.",日本アクア,港区港南二丁目１６番２号,無,プライム（内国株式）,2050,建設業,3,建設・資材,12月31日
1430,ファーストコーポレーション株式会社,ファーストコーポレーションカブシキカイシャ,First-corporation Inc.,ファーストコーポレーション,杉並区荻窪四丁目３０番１６号,無,プライム（内国株式）,2050,建設業,3,建設・資材,5月31日
1431,株式会社Ｌｉｂ　Ｗｏｒｋ,カブシキガイシャリブワーク,"Lib Work Co.,Ltd.",Ｌｉｂ　Ｗｏｒｋ,山鹿市鍋田１７８番地１,有,グロース（内国株式）,2050,建設業,3,建設・資材,6月末日
1433,ベステラ株式会社,ベステラカブシキガイシャ,"BESTERRA CO., LTD",ベステラ,江東区平野三丁目２番６号,有,プライム（内国株式）,2050,建設業,3,建設・資材,1月31日
